METEO WEATHERICON-CODES
--------------------------------
CODE  DESCRIPTION_EN          BESCHREIBUNG_DE
!     windy_rain_inv          Windig_Regen_invers
"     snow_inv                Schneefall_invers
#     snow_heavy_inv          schwerer_Schneefall_invers
$     hail_inv                Hagel_invers
%     clouds_inv              Wolken_invers
&     clouds_flash_inv        Wolken_Blitz_invers
'     temperature             Temperatur
(     compass                 Kompass
)     na                      nicht verfügbar
*     celcius                 Celsius
+     fahrenheit              Fahrenheit
0     clouds_flash_alt        Wolken_Blitz_alternativ
1     sun_inv                 Sonne_invers
2     moon_inv                Mond_invers
3     cloud_sun_inv           Wolke_Sonne_invers
4     cloud_moon_inv          Wolke_Mond_invers
5     cloud_inv               Wolke_invers
6     cloud_flash_inv         Wolke_Blitz_invers
7     drizzle_inv             Nieselregen_invers
8     rain_inv                Regen_invers
9     windy_inv               Windig_invers
A     sunrise                 Sonnenaufgang
B     sun                     Sonne
C     moon                    Mond
D     eclipse                 Sonnenfinsternis
E     mist                    Dunst
F     wind                    Wind
G     snowflake               Schneeflocke
H     cloud_sun               Wolke_Sonne
I     cloud_moon              Wolke_Mond
J     fog_sun                 Nebel_Sonne
K     fog_moon                Nebel_Mond
L     fog_cloud               Nebel_Wolke
M     fog                     Nebel
N     cloud                   Wolke
O     cloud_flash             Wolke_Blitz
P     cloud_flash_alt         Wolke_Blitz_alternativ
Q     drizzle                 Nieselregen
R     rain                    Regen
S     windy                   Windig
T     windy_rain              Windig_Regen
U     snow                    Schneefall
V     snow_alt                Schneefall_alternativ
W     snow_heavy              schwerer_Schneefall
X     hail                    Hagel
Y     clouds                  Wolken
Z     clouds_flash            Wolken_Blitz
